question,answer,options,type
What is the capital of France?,Paris,"London,Paris,Berlin,Rome",mcq
"Who wrote ""Romeo and Juliet""?",William Shakespeare,"Charles Dickens,William Shakespeare,Mark Twain,Jane Austen",mcq
What is the chemical symbol for water?,H2O,"H2O,CO2,O2,NaCl",mcq
What is the largest planet in our solar system?,Jupiter,"Earth,Jupiter,Mars,Venus",mcq
Which ocean is the largest?,Pacific,"Atlantic,Pacific,Indian,Arctic",mcq
Who painted the Mona Lisa?,Leonardo da Vinci,"Michelangelo,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh",mcq
What is the chemical symbol for gold?,Au,"Ag,Au,Fe,Pb",mcq
Who developed the theory of relativity?,Albert Einstein,"Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla",mcq
What is the hardest natural substance?,Diamond,"Quartz,Diamond,Topaz,Corundum",mcq
What is the capital of Japan?,Tokyo,"Seoul,Tokyo,Beijing,Bangkok",mcq
In which year did World War II end?,1945,"1918,1945,1939,1963",mcq
Which planet is known as the Red Planet?,Mars,"Venus,Mars,Jupiter,Saturn",mcq
How many continents are there on Earth?,7,"5,6,7,8",mcq
What gas do plants absorb from the atmosphere?,Carbon dioxide,"Oxygen,Carbon dioxide,Nitrogen,Hydrogen",mcq
What is the largest mammal?,Blue whale,"Elephant,Blue whale,Giraffe,Great white shark",mcq
Which element has the atomic number 1?,Hydrogen,"Helium,Hydrogen,Lithium,Oxygen",mcq
What language is spoken in Brazil?,Portuguese,"Spanish,Portuguese,French,English",mcq
"Who wrote ""1984""?",George Orwell,"Aldous Huxley,George Orwell,Ray Bradbury,J.K. Rowling",mcq
How many bones are in the adult human body?,206,"186,206,236,256",mcq
What is the approximate speed of light in km/s?,300000,"300000,150000,1000,500000",mcq
